HDB,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Method,Run,class=0.0,class=1.0,class=2.0,class=3.0,class=4.0,class=5.0,class=6.0,,,
-,Complete-Data,510,410,366,326,306,207,184,0.973559695010053,,
,,,,,,,,,,,
5%-max-soft_discard-core_points,1,8,7,0.996791631981637,,,,,,,
,2,10,5,0.918295834054489,,,,,,,
,3,9,6,0.970950594454669,0.97075605738542,,,,,,
,4,8,7,0.996791631981637,,,,,,,
,5,9,6,0.970950594454669,,,,,,,
,,,,,,,,,,,
5%-max-soft_discard-border_points,1,8,7,0.996791631981637,,,,,,,
,2,10,5,0.918295834054489,0.965393312810778,,,,,,
,3,8,7,0.996791631981637,,,,,,,
,4,8,7,0.996791631981637,,,,,,,
,5,10,5,0.918295834054489,,,,,,,
